Time (s),Channel 1 (V),Channel 2 (V)
0.5855292,2.569111046214649,2.562088091244571
0.58584656,2.569111046214649,2.565831201605268
0.5861639199999999,2.569111046214649,2.568638534375791
0.58648128,2.569111046214649,2.573317422326662
0.5867986399999999,2.567237844379907,2.576124755097185
0.587116,2.567237844379907,2.580803643048056
0.58743336,2.567237844379907,2.584546753408753
0.5877507199999999,2.565364642545165,2.58828986376945
0.58806808,2.564428041627794,2.592968751720321
0.5883854399999999,2.563491440710423,2.596711862081018
0.5887028,2.561618238875681,2.601390750031889
0.58902016,2.559745037040938,2.605133860392587
0.5893375199999999,2.557871835206196,2.609812748343458
0.58965488,2.555062032454083,2.614491636294329
0.5899722399999999,2.55225222970197,2.618234746655026
0.5902896,2.549442426949856,2.621977857015724
0.59060696,2.545696023280372,2.626656744966595
0.5909243199999999,2.542886220528259,2.631335632917466
0.59124168,2.539139816858774,2.636014520868337
0.5915590399999999,2.536330014106661,2.63882185363886
0.5918764,2.531647009519806,2.642564963999557
0.59219376,2.527900605850322,2.647243851950428
0.5925111199999999,2.523217601263466,2.650986962311125
0.59282848,2.518534596676611,2.654730072671822
0.5931458399999999,2.512914991172384,2.657537405442345
0.5934632,2.507295385668158,2.660344738212867
0.59378056,2.50073917924656,2.664087848573565
0.5940979199999999,2.494182972824963,2.666895181344088
0.59441528,2.486690165485994,2.66970251411461
0.5947326399999999,2.481070559981768,2.671574069294959
0.59505,2.47451435356017,2.674381402065482
0.59536736,2.467021546221202,2.675317179655655
0.5956847199999999,2.458592137964862,2.677188734836004
0.59600208,2.451099330625893,2.677188734836004
0.5963194399999999,2.442669922369553,2.677188734836004
0.5966368,2.435177115030585,2.677188734836004
0.59695416,2.426747706774245,2.677188734836004
0.5972715199999999,2.418318298517905,2.67625295724583
0.59758888,2.409888890261565,2.674381402065482
0.5979062399999999,2.402396082922597,2.672509846885132
0.5982236,2.393966674666257,2.668766736524436
0.59854096,2.38741046824466,2.665023626163738
0.5988583199999999,2.37898105998832,2.660344738212867
0.59917568,2.371488252649351,2.65660162785217
0.5994930399999999,2.363995445310382,2.650986962311125
0.5998104,2.357439238888785,2.64537229677008
0.60012776,2.350883032467187,2.637886076048686
0.6004451199999999,2.34432682604559,2.629464077737117
0.60076248,2.338707220541363,2.621042079425549
0.6010798399999999,2.333087615037137,2.612620081113981
0.6013972,2.329341211367652,2.603262305212239
0.60171456,2.326531408615539,2.593904529310496
0.6020319199999999,2.324658206780797,2.583610975818579
0.60234928,2.322785004946055,2.573317422326662
0.6026666399999999,2.322785004946055,2.562088091244571
0.602984,2.321848404028684,2.552730315342829
0.60330136,2.322785004946055,2.541500984260738
0.6036187199999999,2.324658206780797,2.532143208358995
0.60393608,2.326531408615539,2.521849654867078
0.6042534399999999,2.329341211367652,2.512491878965336
0.6045708,2.333087615037137,2.503134103063593
0.60488816,2.337770619623992,2.493776327161851
0.6052055199999999,2.342453624210847,2.484418551260108
0.60552288,2.347136628797703,2.47599655294854
0.6058402399999999,2.352756234301929,2.467574554636972
0.6061576,2.359312440723527,2.460088333915578
0.60647496,2.365868647145124,2.452602113194184
0.6067923199999999,2.373361454484093,2.446051670062964
0.60710968,2.380854261823062,2.439501226931744
0.6074270399999999,2.38741046824466,2.433886561390699
0.6077444,2.394903275583628,2.429207673439827
0.60806176,2.401459482005226,2.425464563079131
0.6083791199999999,2.408952289344194,2.420785675128259
0.60869648,2.414571894848421,2.417042564767562
0.6090138399999999,2.422064702187389,2.415171009587214
0.6093312,2.429557509526358,2.412363676816691
0.60964856,2.437050316865327,2.410492121636342
0.6099659199999999,2.444543124204295,2.408620566455994
0.61028328,2.451099330625893,2.408620566455994
0.6106006399999999,2.458592137964862,2.407684788865819
0.610918,2.465148344386459,2.408620566455994
0.61123536,2.471704550808057,2.408620566455994
0.6115527199999999,2.476387555394912,2.409556344046169
0.61187008,2.48294376181651,2.410492121636342
0.6121874399999999,2.488563367320736,2.410492121636342
0.6125048,2.493246371907591,2.412363676816691
0.61282216,2.498865977411818,2.413299454406865
0.6131395199999999,2.503548981998673,2.416106787177388
0.61345688,2.508231986585529,2.418914119947911
0.61377424,2.512914991172384,2.420785675128259
0.6140916,2.516661394841869,2.423593007898782
0.61440896,2.520407798511353,2.425464563079131
0.6147263199999999,2.524154202180837,2.427336118259479
0.61504368,2.527900605850322,2.430143451030002
0.61536104,2.530710408602435,2.43201500621035
0.6156784,2.533520211354548,2.433886561390699
0.61599576,2.536330014106661,2.436693894161222
0.6163131199999999,2.539139816858774,2.43856544934157
0.61663048,2.541949619610888,2.440437004521918
0.61694784,2.54382282144563,2.441372782112093
0.6172652,2.546632624197743,2.444180114882616
0.61758256,2.550379027867228,2.446051670062964
0.6178999199999999,2.553188830619341,2.447923225243312
0.61821728,2.555062032454083,2.449794780423661
0.61853464,2.557871835206196,2.452602113194184
0.618852,2.560681637958309,2.454473668374533
0.61916936,2.563491440710423,2.455409445964706
0.6194867199999999,2.566301243462536,2.458216778735229
0.61980408,2.569111046214649,2.461024111505752
0.62012144,2.571920848966763,2.462895666686101
0.6204388,2.574730651718875,2.466638777046797
0.62075616,2.577540454470989,2.46944610981732
0.6210735199999999,2.580350257223102,2.471317664997668
0.62139088,2.583160059975215,2.475060775358366
0.62170824,2.585033261809957,2.477868108128889
0.6220256,2.587843064562071,2.481611218489586
0.62234296,2.590652867314184,2.484418551260108
0.6226603199999999,2.592526069148926,2.488161661620805
0.62297768,2.594399270983669,2.492840549571676
0.62329504,2.597209073735782,2.496583659932374
0.6236124,2.598145674653153,2.50032677029307
0.62392976,2.600955477405266,2.505005658243942
0.6242471199999999,2.603765280157379,2.509684546194813
0.62456448,2.605638481992121,2.514363434145684
0.62488184,2.606575082909492,2.519042322096555
0.6251992,2.607511683826864,2.523721210047427
0.62551656,2.607511683826864,2.529335875588473
0.6258339199999999,2.608448284744235,2.534950541129517
0.62615128,2.607511683826864,2.541500984260738
0.62646864,2.606575082909492,2.546179872211609
0.626786,2.606575082909492,2.551794537752654
0.62710336,2.60470188107475,2.558344980883875
0.6274207199999999,2.602828679240008,2.563959646424919
0.62773808,2.600018876487895,2.570510089556139
0.62805544,2.598145674653153,2.577060532687359
0.6283728,2.595335871901039,2.583610975818579
0.62869016,2.590652867314184,2.58828986376945
0.6290075199999999,2.5869064636447,2.59484030690067
0.62932488,2.584096660892587,2.601390750031889
0.62964224,2.579413656305731,2.606069637982761
0.6299596,2.574730651718875,2.611684303523806
0.63027696,2.57004764713202,2.617298969064852
0.6305943199999999,2.564428041627794,2.621977857015724
0.63091168,2.558808436123567,2.626656744966595
0.63122904,2.553188830619341,2.631335632917466
0.6315464,2.546632624197743,2.635078743278163
0.63186376,2.540076417776146,2.639757631229034
